Wall time,Step,Value
1584998853.7923164,732,2.3202016353607178
1584998887.8878598,832,1.8974438905715942
1584998915.5411499,932,1.8415576219558716
1584998943.2609148,1032,1.8291409015655518
1584998970.9516678,1132,1.8327029943466187
1584998998.701443,1232,1.830033779144287
1584999038.9192586,1365,1.8495670557022095
1584999070.4390366,1465,1.812614917755127
1584999097.9838133,1565,1.8096431493759155
1584999125.8100736,1665,1.8354666233062744
1584999153.5829444,1765,1.808876872062683
1584999181.3581054,1865,1.8111203908920288
1584999222.6302073,1998,1.8113523721694946
1584999252.885245,2098,1.8172550201416016
1584999282.6809757,2198,1.8150447607040405
1584999317.408283,2298,1.772814393043518
1584999353.6127145,2398,1.7666397094726562
1584999389.6775978,2498,1.7642889022827148
1584999430.5469067,2631,1.7416805028915405
1584999456.267306,2731,1.72257399559021
1584999481.1918187,2831,1.693991780281067
1584999506.7258713,2931,1.6501508951187134
1584999533.8785746,3031,1.6176986694335938
1584999558.8014586,3131,1.602155327796936
1584999597.331966,3264,1.5104774236679077
1584999622.3739214,3364,1.5076279640197754
1584999647.3551362,3464,1.4813371896743774
1584999672.435465,3564,1.4525351524353027
1584999697.3100798,3664,1.4414676427841187
1584999722.084891,3764,1.4334311485290527
1584999757.8686185,3897,1.4037435054779053
1584999782.7566078,3997,1.3689641952514648
1584999807.7368555,4097,1.3854241371154785
1584999832.775128,4197,1.3700499534606934
1584999857.699926,4297,1.365340232849121
1584999882.2304769,4397,1.3550572395324707
1584999917.4412932,4530,1.3313100337982178
1584999941.7254505,4630,1.340889811515808
1584999965.7291236,4730,1.3368128538131714
1584999989.6991987,4830,1.3428763151168823
1585000013.946612,4930,1.318457007408142
1585000038.2404234,5030,1.3252722024917603
1585000073.2461681,5163,1.3217068910598755
1585000097.5674658,5263,1.2927532196044922
1585000122.0843952,5363,1.3102471828460693
1585000146.507604,5463,1.2965325117111206
1585000170.8502097,5563,1.3163399696350098
1585000195.3492322,5663,1.2992960214614868
1585000230.5757034,5796,1.2965503931045532
1585000254.9204745,5896,1.2883715629577637
1585000279.312306,5996,1.2881979942321777
1585000303.7393825,6096,1.281287431716919
1585000328.1650946,6196,1.2741951942443848
1585000352.609122,6296,1.253476858139038
1585000388.0040646,6429,1.262330412864685
1585000412.5029252,6529,1.2409539222717285
1585000436.5796447,6629,1.2284376621246338
1585000461.031249,6729,1.2336293458938599
1585000485.4703345,6829,1.2268532514572144
1585000509.8218043,6929,1.2027099132537842
1585000545.327737,7062,1.204019546508789
1585000569.8219335,7162,1.207467794418335
1585000594.4886591,7262,1.16667902469635
1585000618.9960692,7362,1.1784334182739258
1585000643.2336295,7462,1.1526036262512207
1585000667.7448206,7562,1.119155764579773
1585000703.0109055,7695,1.1039479970932007
1585000727.4498422,7795,1.1387323141098022
1585000751.9274385,7895,1.1217989921569824
1585000776.4070756,7995,1.088380217552185
1585000800.9360285,8095,1.0729360580444336
1585000825.4037125,8195,1.0593273639678955
1585000860.6271613,8328,1.0687965154647827
1585000885.0422153,8428,1.0610345602035522
1585000909.627139,8528,1.0468515157699585
1585000934.0831988,8628,1.0437699556350708
1585000958.5663283,8728,1.0203073024749756
1585000982.8681784,8828,1.0314134359359741
1585001018.2628977,8961,1.039183259010315
1585001044.7325995,9061,1.0141493082046509
1585001069.0775943,9161,0.9914796352386475
1585001093.601961,9261,0.9906409382820129
1585001117.953829,9361,1.0362108945846558
1585001142.3658307,9461,0.9905420541763306
1585001177.6113498,9594,0.9814059138298035
1585001202.3546422,9694,0.9735007882118225
1585001226.8413234,9794,0.9850300550460815
1585001251.3109396,9894,0.9809678792953491
1585001275.8902915,9994,0.9662591218948364
